year,sex,marital_status,age,outside_labour_force
1998,female,widowed_divorced,30-34,200
1998,female,widowed_divorced,35-39,300
1998,female,widowed_divorced,40-44,1000
1998,female,widowed_divorced,45-49,2700
1998,female,widowed_divorced,50-54,3800
1998,female,widowed_divorced,55-59,9300
1998,female,widowed_divorced,60-64,12800
1998,female,widowed_divorced,65-69,17500
1998,female,widowed_divorced,70_and_over,52400
1999,male,single,15-19,92400
1999,male,single,20-24,30400
1999,male,single,25-29,6600
1999,male,single,30-34,2400
1999,male,single,35-39,2100
1999,male,single,40-44,2200
1999,male,single,45-49,1100
1999,male,single,50-54,1300
1999,male,single,55-59,1200
1999,male,single,60-64,1600
1999,male,single,65-69,800
1999,male,single,70_and_over,1800
1999,male,married,15-19,-
1999,male,married,20-24,-
1999,male,married,25-29,600
1999,male,married,30-34,500
1999,male,married,35-39,700
1999,male,married,40-44,1200
1999,male,married,45-49,2600
1999,male,married,50-54,5500
1999,male,married,55-59,13200
1999,male,married,60-64,22400
1999,male,married,65-69,22200
1999,male,married,70_and_over,39000
1999,male,widowed_divorced,15-19,-
1999,male,widowed_divorced,20-24,-
1999,male,widowed_divorced,25-29,-
1999,male,widowed_divorced,30-34,-
1999,male,widowed_divorced,35-39,100
1999,male,widowed_divorced,40-44,200
1999,male,widowed_divorced,45-49,200
1999,male,widowed_divorced,50-54,500
1999,male,widowed_divorced,55-59,1000
1999,male,widowed_divorced,60-64,2200
1999,male,widowed_divorced,65-69,3700
1999,male,widowed_divorced,70_and_over,13300
1999,female,single,15-19,85600
1999,female,single,20-24,24500
1999,female,single,25-29,3400
1999,female,single,30-34,1600
1999,female,single,35-39,1900
1999,female,single,40-44,2400
1999,female,single,45-49,2300
1999,female,single,50-54,2100
1999,female,single,55-59,1400
1999,female,single,60-64,1900
1999,female,single,65-69,1200
1999,female,single,70_and_over,2200
1999,female,married,15-19,200
1999,female,married,20-24,4300
1999,female,married,25-29,22400
1999,female,married,30-34,44100
1999,female,married,35-39,58900
1999,female,married,40-44,56700
1999,female,married,45-49,46200
1999,female,married,50-54,42400
1999,female,married,55-59,34900
1999,female,married,60-64,30500
1999,female,married,65-69,21500
1999,female,married,70_and_over,19200
1999,female,widowed_divorced,15-19,-
1999,female,widowed_divorced,20-24,-
1999,female,widowed_divorced,25-29,200
1999,female,widowed_divorced,30-34,300
1999,female,widowed_divorced,35-39,600
2004,male,single,35-39,2000
1999,female,widowed_divorced,40-44,1000
1999,female,widowed_divorced,45-49,2500
1999,female,widowed_divorced,50-54,5000
1999,female,widowed_divorced,55-59,8900
1999,female,widowed_divorced,60-64,15400
1999,female,widowed_divorced,65-69,18500
1999,female,widowed_divorced,70_and_over,57300
2001,male,single,15-19,94200
2001,male,single,20-24,31700
2001,male,single,25-29,5700
2001,male,single,30-34,1800
2001,male,single,35-39,1400
2001,male,single,40-44,1600
2001,male,single,45-49,1700
2001,male,single,50-54,1600
2001,male,single,55-59,1100
2001,male,single,60-64,1100
2001,male,single,65-69,1000
2001,male,single,70_and_over,1300
2001,male,married,15-19,100
2001,male,married,20-24,300
2001,male,married,25-29,400
2001,male,married,30-34,500
2001,male,married,35-39,800
2001,male,married,40-44,1200
2001,male,married,45-49,2800
2001,male,married,50-54,8200
2001,male,married,55-59,13100
2001,male,married,60-64,23800
2001,male,married,65-69,23500
2001,male,married,70_and_over,41600
2001,male,widowed_divorced,15-19,-
2001,male,widowed_divorced,20-24,-
2001,male,widowed_divorced,25-29,-
2001,male,widowed_divorced,30-34,-
2001,male,widowed_divorced,35-39,100
2001,male,widowed_divorced,40-44,200
2001,male,widowed_divorced,45-49,200
2001,male,widowed_divorced,50-54,700
2001,male,widowed_divorced,55-59,1000
2001,male,widowed_divorced,60-64,1900
2001,male,widowed_divorced,65-69,2600
2001,male,widowed_divorced,70_and_over,12800
2001,female,single,15-19,88300
2001,female,single,20-24,26400
2001,female,single,25-29,2800
2001,female,single,30-34,2000
2001,female,single,35-39,1700
2001,female,single,40-44,2200
2001,female,single,45-49,2400
2001,female,single,50-54,3100
2001,female,single,55-59,1900
2001,female,single,60-64,2100
2001,female,single,65-69,1000
2001,female,single,70_and_over,3000
2001,female,married,15-19,700
2001,female,married,20-24,4700
2001,female,married,25-29,19500
2001,female,married,30-34,39400
2001,female,married,35-39,57800
2001,female,married,40-44,55800
2001,female,married,45-49,47400
2001,female,married,50-54,45300
2001,female,married,55-59,29500
2001,female,married,60-64,34200
2001,female,married,65-69,22800
2001,female,married,70_and_over,21800
2001,female,widowed_divorced,15-19,-
2001,female,widowed_divorced,20-24,-
2001,female,widowed_divorced,25-29,200
2001,female,widowed_divorced,30-34,400
2001,female,widowed_divorced,35-39,900
2001,female,widowed_divorced,40-44,1100
2001,female,widowed_divorced,45-49,2100
2001,female,widowed_divorced,50-54,5000
2001,female,widowed_divorced,55-59,7200
2001,female,widowed_divorced,60-64,15200
2001,female,widowed_divorced,65-69,18000
2001,female,widowed_divorced,70_and_over,63900
2002,male,single,15-19,95000
2002,male,single,20-24,34100
2002,male,single,25-29,6000
2002,male,single,30-34,1500
2002,male,single,35-39,2200
2002,male,single,40-44,2300
2002,male,single,45-49,1800
2002,male,single,50-54,2500
2002,male,single,55-59,1800
2002,male,single,60-64,1500
2002,male,single,65-69,1700
2002,male,single,70_and_over,2200
